country,environment,count,proportion,population_proportion,sample_proportion,benchmark_proportion,deviation,abs_deviation,normalized_deviation,tvd_contribution
Croatia,Rural,,,0.0002349117358129,0.0,0.0002349117358129,-0.0002349117358129,0.0002349117358129,-1.0,0.00011745586790645
Congo,Rural,,,0.0002339946236263,0.0,0.0002339946236263,-0.0002339946236263,0.0002339946236263,-1.0,0.00011699731181315
Ireland,Rural,,,0.0002317673511729,0.0,0.0002317673511729,-0.0002317673511729,0.0002317673511729,-1.0,0.00011588367558645
Bulgaria,Rural,,,0.0002304571909063,0.0,0.0002304571909063,-0.0002304571909063,0.0002304571909063,-1.0,0.00011522859545315
Republic of Moldova,Urban,,,0.0002257406139463,0.0,0.0002257406139463,-0.0002257406139463,0.0002257406139463,-1.0,0.00011287030697315
Bosnia and Herzegovina,Urban,,,0.0002214170850663,0.0,0.0002214170850663,-0.0002214170850663,0.0002214170850663,-1.0,0.00011070854253315
Lesotho,Rural,,,0.0002130320593596,0.0,0.0002130320593596,-0.0002130320593596,0.0002130320593596,-1.0,0.0001065160296798
Botswana,Urban,,,0.0002122459631996,0.0,0.0002122459631996,-0.0002122459631996,0.0002122459631996,-1.0,0.0001061229815998
Georgia,Rural,,,0.000211721899093,0.0,0.000211721899093,-0.000211721899093,0.000211721899093,-1.0,0.0001058609495465
Jamaica,Urban,,,0.0002114598670396,0.0,0.0002114598670396,-0.0002114598670396,0.0002114598670396,-1.0,0.0001057299335198
France,Urban,4.0,0.006666666666666667,0.0068751970153501,0.006666666666666667,0.0068751970153501,-0.000208530348683433,0.000208530348683433,-0.030330817897705607,0.0001042651743417165
Burundi,Urban,,,0.0001915454309863,0.0,0.0001915454309863,-0.0001915454309863,0.0001915454309863,-1.0,9.577271549315e-05
Bahrain,Urban,,,0.0001832914213064,0.0,0.0001832914213064,-0.0001832914213064,0.0001832914213064,-1.0,9.16457106532e-05
Panama,Rural,,,0.0001760855398397,0.0,0.0001760855398397,-0.0001760855398397,0.0001760855398397,-1.0,8.804276991985e-05
Gambia,Urban,,,0.0001737272513597,0.0,0.0001737272513597,-0.0001737272513597,0.0001737272513597,-1.0,8.686362567985e-05
