country,gender,age_group,count,proportion,population_proportion,sample_proportion,benchmark_proportion,deviation,abs_deviation,normalized_deviation,tvd_contribution
Greece,Female,25-34,1.0,0.0016666666666666668,,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,inf,0.0008333333333333334
Romania,Male,18-24,1.0,0.0016666666666666668,,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,inf,0.0008333333333333334
Portugal,Male,18-24,1.0,0.0016666666666666668,,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,inf,0.0008333333333333334
Switzerland,Female,45-54,1.0,0.0016666666666666668,,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,inf,0.0008333333333333334
Poland,Male,18-24,1.0,0.0016666666666666668,,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,inf,0.0008333333333333334
Albania,Male,25-34,1.0,0.0016666666666666668,,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,inf,0.0008333333333333334
China,Male,45-54,1.0,0.0016666666666666668,,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,inf,0.0008333333333333334
Poland,Female,25-34,1.0,0.0016666666666666668,,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,inf,0.0008333333333333334
Mexico,Male,45-54,1.0,0.0016666666666666668,,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,inf,0.0008333333333333334
Belgium,Male,45-54,1.0,0.0016666666666666668,,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,inf,0.0008333333333333334
Kazakhstan,Female,45-54,1.0,0.0016666666666666668,,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,inf,0.0008333333333333334
Croatia,Male,45-54,1.0,0.0016666666666666668,,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,inf,0.0008333333333333334
